condition_file,message_to_show,repN_wm,repN_single,repN_break,dimension,rot_type,angle,mirror,wm,pair_id,obj_id,orientation1,orientation2,image_path_1,image_path_2,marker_id,correctAns,block_loop_main.thisRepN,block_loop_main.thisTrialN,block_loop_main.thisN,block_loop_main.thisIndex,simu_trials_loop.thisRepN,simu_trials_loop.thisTrialN,simu_trials_loop.thisN,simu_trials_loop.thisIndex,wm_trials_loop.thisRepN,wm_trials_loop.thisTrialN,wm_trials_loop.thisN,wm_trials_loop.thisIndex,block_loop_3dd.thisRepN,block_loop_3dd.thisTrialN,block_loop_3dd.thisN,block_loop_3dd.thisIndex,first_3Dd_wm.thisRepN,first_3Dd_wm.thisTrialN,first_3Dd_wm.thisN,first_3Dd_wm.thisIndex,thisRow.t,notes,start.started,text_start.started,key_resp_start.started,start.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,instructions.started,key_resp_12.started,image_8.started,instructions.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.duration,instructions_2.started,image_9.started,key_resp_20.started,instructions_2.stopped,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,instructions_3.started,image_10.started,key_resp_21.started,instructions_3.stopped,key_resp_21.keys,key_resp_21.rt,key_resp_21.duration,before_block_instr.started,text_13.started,key_resp_7.started,before_block_instr.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,routine_wm.started,text_4.started,img1.started,text_4.stopped,img1.stopped,text_5.started,text_5.stopped,img2.started,key_resp_3.started,routine_wm.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,vividness.started,image_vivid.started,key_resp_vivid_slider_control.started,vividness.stopped,vivid_response,key_resp_vivid_slider_control.keys,key_resp_vivid_slider_control.rt,key_resp_vivid_slider_control.duration,ITI.started,text_2.started,ITI.stopped,image_vivid.stopped,key_resp_vivid_slider_control.stopped,text_2.stopped,strat.started,image_strat.started,key_resp_strat_control.started,strat.stopped,strategy_response,key_resp_strat_control.keys,key_resp_strat_control.rt,key_resp_strat_control.duration,break_2.started,break_2.stopped,key_resp_13.keys,routine_simu.started,text.started,image.started,key_resp.started,text.stopped,routine_simu.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,image.stopped,key_resp.stopped,text_17.started,key_resp_13.started,key_resp_13.rt,key_resp_13.duration,image_strat.stopped,key_resp_strat_control.stopped,practice_3Dd_screen.started,image_11.started,key_resp_22.started,practice_3Dd_screen.stopped,key_resp_22.keys,key_resp_22.rt,key_resp_22.duration,practice_1_3Dd.started,image_12.started,key_resp_23.started,practice_1_3Dd.stopped,key_resp_23.keys,key_resp_23.rt,key_resp_23.duration,practice_2_3Dd.started,image_13.started,key_resp_24.started,practice_2_3Dd.stopped,key_resp_24.keys,key_resp_24.rt,key_resp_24.duration,wm_3Dd_screen.started,text_16.started,key_resp_11.started,wm_3Dd_screen.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,routine_3Dd_wm.started,text_8.started,image_6.started,text_8.stopped,image_6.stopped,text_12.started,image_7.started,key_resp_6.started,text_12.stopped,routine_3Dd_wm.stopped,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,key_resp_6.duration,end.started,text_22.started,key_resp_18.started,end.stopped,key_resp_18.keys,key_resp_18.rt,key_resp_18.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06791890000022249,0.07415790000231937,0.07415790000231937,1.6309238000030746,rshift,1.531490000001213,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2024-05-30_13h59.48.753,ps,2023.2.3,30.054262971249283,2024-05-30 13h59.59.001058 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6309496000030776,1.6628587000013795,1.6628587000013795,7.097549300000537,rshift,5.422544000000926,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2024-05-30_13h59.48.753,ps,2023.2.3,30.054262971249283,2024-05-30 13h59.59.001058 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.097566000004008,7.129604800000379,7.129604800000379,9.36740319999808,rshift,2.2285788000008324,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2024-05-30_13h59.48.753,ps,2023.2.3,30.054262971249283,2024-05-30 13h59.59.001058 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.367421599999943,9.40010859999893,9.40010859999893,12.264175800002704,rshift,2.8525025000053574,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2024-05-30_13h59.48.753,ps,2023.2.3,30.054262971249283,2024-05-30 13h59.59.001058 -0400,
mini_blocks/3dp_wm_mini_block_0.xlsx,"*Break*
Entering the 3D WORKING MEMORY block
Rotation is Counter/Clockwise
Press <4> to continue",1,0,0,3D,p,120,True,True,20,obj8,320,80,output_pairs/3Dp_120_M_WM/3Dp_120_M_WM_20_1_obj_8_320deg.png,output_pairs/3Dp_120_M_WM/3Dp_120_M_WM_20_2_obj_8_80deg.png,655,period,0,0,0,0,,,,,0,0,0,0,,,,,,,,,27.133814799999527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.26933889999782,12.296211300003051,12.296211300003051,26.96417250000377,rshift,14.660563999997976,None,26.976594500003557,27.133814799999527,27.967561400000704,28.16337139999814,31.967694500002835,31.967694500002835,32.96772780000174,32.96772780000174,32.96772780000174,35.43125069999951,comma,0,2.4616735000017798,None,35.43172780000168,35.463174000004074,35.463174000004074,37.43654480000259,2.0,['period'],[1.3416343000062625],[None],37.43702430000121,37.46772290000081,39.467693400001735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2024-05-30_13h59.48.753,ps,2023.2.3,30.054262971249283,2024-05-30 13h59.59.001058 -0400,
mini_blocks/3dp_wm_mini_block_0.xlsx,"*Break*
Entering the 3D WORKING MEMORY block
Rotation is Counter/Clockwise
Press <4> to continue",1,0,0,3D,p,180,True,True,1,obj7,320,140,output_pairs/3Dp_180_M_WM/3Dp_180_M_WM_01_1_obj_7_320deg.png,output_pairs/3Dp_180_M_WM/3Dp_180_M_WM_01_2_obj_7_140deg.png,63,period,0,0,0,0,,,,,0,1,1,1,,,,,,,,,39.51675460000115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.46803260000161,39.51675460000115,40.46311589999823,40.5405654999995,44.467735700003686,44.43436749999819,45.43006299999979,45.43006299999979,45.43006299999979,47.964152900000045,period,1,2.5035844999947585,None,47.96448080000118,47.99649340000178,47.99649340000178,49.96958399999858,None,None,,,49.969671700004255,50.001056699999026,51.9737884999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2024-05-30_13h59.48.753,ps,2023.2.3,30.054262971249283,2024-05-30 13h59.59.001058 -0400,
mini_blocks/3dp_wm_mini_block_0.xlsx,"*Break*
Entering the 3D WORKING MEMORY block
Rotation is Counter/Clockwise
Press <4> to continue",1,0,0,3D,p,0,True,True,15,obj2,320,320,output_pairs/3Dp_0_M_WM/3Dp_0_M_WM_15_1_obj_2_320deg.png,output_pairs/3Dp_0_M_WM/3Dp_0_M_WM_15_2_obj_2_320deg.png,523,period,0,0,0,0,,,,,0,2,2,2,,,,,,,,,52.03780369999731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.97397130000172,52.03780369999731,53.001135200000135,53.063489500003925,57.03439739999885,56.96339969999826,57.96779400000378,57.96779400000378,57.96779400000378,60.09708200000023,comma,0,2.1263611000031233,None,60.09728200000245,60.12977669999964,60.12977669999964,62.10302529999899,2.0,['period'],[1.1001799000005121],[None],62.10318140000163,62.13440660000197,64.13028050000139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2024-05-30_13h59.48.753,ps,2023.2.3,30.054262971249283,2024-05-30 13h59.59.001058 -0400,
mini_blocks/3dp_wm_mini_block_0.xlsx,"*Break*
Entering the 3D WORKING MEMORY block
Rotation is Counter/Clockwise
Press <4> to continue",1,0,0,3D,p,0,False,True,32,sm1,100,100,output_pairs/3Dp_0_WM/3Dp_0_WM_32_1_sm_1_100deg.png,output_pairs/3Dp_0_WM/3Dp_0_WM_32_2_sm_1_100deg.png,110,comma,0,0,0,0,,,,,0,3,3,3,,,,,,,,,64.17815279999922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.13057570000092,64.17815279999922,65.09673370000382,65.19679600000381,69.10117080000055,69.10117080000055,70.10116859999835,70.10116859999835,70.10116859999835,71.3307277999993,comma,1,1.2009130000005825,None,71.33093390000431,71.3630323000034,71.3630323000034,73.33353680000437,4.0,['rshift'],[1.0273148999986006],[None],73.33368779999728,73.36312460000045,75.34053829999903,73.36312460000045,73.36312460000045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2024-05-30_13h59.48.753,ps,2023.2.3,30.054262971249283,2024-05-30 13h59.59.001058 -0400,
mini_blocks/3dp_wm_mini_block_0.xlsx,"*Break*
Entering the 3D WORKING MEMORY block
Rotation is Counter/Clockwise
Press <4> to continue",1,0,0,3D,p,60,True,True,6,obj9,80,20,output_pairs/3Dp_60_M_WM/3Dp_60_M_WM_06_1_obj_9_80deg.png,output_pairs/3Dp_60_M_WM/3Dp_60_M_WM_06_2_obj_9_20deg.png,295,period,0,0,0,0,,,,,0,4,4,4,,,,,,,,,75.40620950000448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.34074189999956,75.40620950000448,76.33442069999728,76.43022960000235,80.363417200002,80.32990699999937,81.3345726999978,81.3345726999978,81.3345726999978,84.46419199999946,period,1,3.1035511000009137,None,84.46439690000261,84.49672690000443,84.49672690000443,86.46977770000376,2.0,['period'],[0.9500849999967613],[None],86.4699374999982,86.50120700000116,88.49697300000116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2024-05-30_13h59.48.753,ps,2023.2.3,30.054262971249283,2024-05-30 13h59.59.001058 -0400,
mini_blocks/3dp_wm_mini_block_0.xlsx,"*Break*
Entering the 3D WORKING MEMORY block
Rotation is Counter/Clockwise
Press <4> to continue",1,0,0,3D,p,60,False,True,6,sm1,280,340,output_pairs/3Dp_60_WM/3Dp_60_WM_06_1_sm_1_280deg.png,output_pairs/3Dp_60_WM/3Dp_60_WM_06_2_sm_1_340deg.png,404,comma,0,0,0,0,,,,,0,5,5,5,,,,,,,,,88.55772699999943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.49719609999738,88.55772699999943,89.47382949999883,89.57391330000246,93.49668770000426,93.49668770000426,94.49664630000188,94.46331389999978,94.46331389999978,96.43530129999999,comma,1,1.9511490000004414,None,96.43548759999976,96.46374050000304,96.46374050000304,98.43348949999927,3.0,['slash'],[1.173429299997224],[None],98.43363559999852,98.4633393999975,100.43512249999912,98.4633393999975,98.4633393999975,100.50177570000233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2024-05-30_13h59.48.753,ps,2023.2.3,30.054262971249283,2024-05-30 13h59.59.001058 -0400,
