condition_file,message_to_show,repN_wm,repN_single,repN_break,dimension,rot_type,angle,mirror,wm,pair_id,obj_id,orientation1,orientation2,image_path_1,image_path_2,marker_id,correctAns,block_loop_main.thisRepN,block_loop_main.thisTrialN,block_loop_main.thisN,block_loop_main.thisIndex,simu_trials_loop.thisRepN,simu_trials_loop.thisTrialN,simu_trials_loop.thisN,simu_trials_loop.thisIndex,wm_trials_loop.thisRepN,wm_trials_loop.thisTrialN,wm_trials_loop.thisN,wm_trials_loop.thisIndex,block_loop_3dd.thisRepN,block_loop_3dd.thisTrialN,block_loop_3dd.thisN,block_loop_3dd.thisIndex,first_3Dd_wm.thisRepN,first_3Dd_wm.thisTrialN,first_3Dd_wm.thisN,first_3Dd_wm.thisIndex,thisRow.t,notes,start.started,text_start.started,key_resp_start.started,start.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,instructions.started,key_resp_12.started,image_8.started,instructions.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.duration,instructions_2.started,image_9.started,key_resp_20.started,instructions_2.stopped,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,instructions_3.started,image_10.started,key_resp_21.started,instructions_3.stopped,key_resp_21.keys,key_resp_21.rt,key_resp_21.duration,before_block_instr.started,text_13.started,key_resp_7.started,before_block_instr.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,routine_wm.started,text_4.started,img1.started,text_4.stopped,text_5.started,img1.stopped,text_5.stopped,img2.started,key_resp_3.started,routine_wm.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,vividness.started,image_vivid.started,key_resp_vivid_slider_control.started,vividness.stopped,vivid_response,key_resp_vivid_slider_control.keys,key_resp_vivid_slider_control.rt,key_resp_vivid_slider_control.duration,ITI.started,text_2.started,ITI.stopped,image_vivid.stopped,key_resp_vivid_slider_control.stopped,text_2.stopped,strat.started,image_strat.started,key_resp_strat_control.started,strat.stopped,strategy_response,key_resp_strat_control.keys,key_resp_strat_control.rt,key_resp_strat_control.duration,break_2.started,break_2.stopped,key_resp_13.keys,routine_simu.started,text.started,image.started,key_resp.started,text.stopped,image.stopped,key_resp.stopped,routine_simu.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,image_strat.stopped,key_resp_strat_control.stopped,text_17.started,key_resp_13.started,key_resp_13.rt,key_resp_13.duration,practice_3Dd_screen.started,image_11.started,key_resp_22.started,practice_3Dd_screen.stopped,key_resp_22.keys,key_resp_22.rt,key_resp_22.duration,practice_1_3Dd.started,image_12.started,key_resp_23.started,practice_1_3Dd.stopped,key_resp_23.keys,key_resp_23.rt,key_resp_23.duration,practice_2_3Dd.started,image_13.started,key_resp_24.started,practice_2_3Dd.stopped,key_resp_24.keys,key_resp_24.rt,key_resp_24.duration,wm_3Dd_screen.started,text_16.started,key_resp_11.started,wm_3Dd_screen.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,routine_3Dd_wm.started,text_8.started,image_6.started,text_8.stopped,image_6.stopped,text_12.started,image_7.started,key_resp_6.started,text_12.stopped,routine_3Dd_wm.stopped,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,key_resp_6.duration,end.started,text_22.started,key_resp_18.started,end.stopped,key_resp_18.keys,key_resp_18.rt,key_resp_18.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014089800009969622,0.03959450000547804,0.03959450000547804,2.1736449000018183,rshift,2.120982799999183,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2024-05-31_15h27.47.805,ps,2023.2.3,29.91209731973016,2024-05-31 15h28.00.914476 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1736624000186566,2.205584000010276,2.205584000010276,18.01037420000648,rshift,15.772071100014728,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2024-05-31_15h27.47.805,ps,2023.2.3,29.91209731973016,2024-05-31 15h28.00.914476 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.01039209999726,18.043379700015066,18.043379700015066,36.61016790001304,rshift,18.54173259998788,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2024-05-31_15h27.47.805,ps,2023.2.3,29.91209731973016,2024-05-31 15h28.00.914476 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.61018519999925,36.643024799996056,36.643024799996056,66.17716099999961,rshift,29.51815620000707,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2024-05-31_15h27.47.805,ps,2023.2.3,29.91209731973016,2024-05-31 15h28.00.914476 -0400,
mini_blocks/3dp_wm_mini_block_1.xlsx,"*Break*
Entering the 3D WORKING MEMORY block
Rotation is Counter/Clockwise
Press <4> to continue",1,0,0,3D,p,180,False,True,25,obj5,340,160,output_pairs/3Dp_180_WM/3Dp_60_WM_25_1_obj_5_340deg.png,output_pairs/3Dp_180_WM/3Dp_60_WM_25_2_obj_5_160deg.png,492,comma,0,0,0,0,,,,,0,0,0,0,,,,,,,,,75.00280740001472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.18230099999346,66.209984599991,66.209984599991,74.81128100000205,rshift,8.59133130000555,None,74.8250578000152,75.00280740001472,75.84388080000645,76.0061714000185,79.8106333000178,79.84403350000503,80.85012829999323,80.85012829999323,80.85012829999323,83.30741350000608,period,0,2.4552165000059176,None,83.30783150001662,83.34392030001618,83.34392030001618,85.34145549999084,1.0,['comma'],[1.6098726999771316],[None],85.34170760001871,85.37266180000734,87.31090109999059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2024-05-31_15h27.47.805,ps,2023.2.3,29.91209731973016,2024-05-31 15h28.00.914476 -0400,
mini_blocks/3dp_wm_mini_block_1.xlsx,"*Break*
Entering the 3D WORKING MEMORY block
Rotation is Counter/Clockwise
Press <4> to continue",1,0,0,3D,p,120,False,True,12,obj1,0,240,output_pairs/3Dp_120_WM/3Dp_120_WM_12_1_obj_15_0deg.png,output_pairs/3Dp_120_WM/3Dp_120_WM_12_2_obj_15_240deg.png,351,comma,0,0,0,0,,,,,0,1,1,1,,,,,,,,,87.37604800000554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.31109249999281,87.37604800000554,88.31665330001852,88.38363090000348,92.33921140001621,92.33921140001621,93.3393638000125,93.3393638000125,93.3393638000125,97.47382450001896,period,0,4.101725399988936,None,97.47403549999581,97.50612710000132,97.50612710000132,99.47722760000033,1.0,['comma'],[1.7763399000104982],[None],99.47737770000822,99.50621620001039,101.47382539999671,99.50621620001039,99.50621620001039,101.5348423999967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2024-05-31_15h27.47.805,ps,2023.2.3,29.91209731973016,2024-05-31 15h28.00.914476 -0400,
mini_blocks/3dp_wm_mini_block_1.xlsx,"*Break*
Entering the 3D WORKING MEMORY block
Rotation is Counter/Clockwise
Press <4> to continue",1,0,0,3D,p,180,False,True,15,sm1,200,20,output_pairs/3Dp_180_WM/3Dp_60_WM_15_1_sm_1_200deg.png,output_pairs/3Dp_180_WM/3Dp_60_WM_15_2_sm_1_20deg.png,481,comma,0,0,0,0,,,,,0,2,2,2,,,,,,,,,101.5348423999967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.47400310001103,101.5348423999967,102.47302950001904,102.54399189999094,106.50621620001039,106.47277300001588,107.51084800000535,107.47752660000697,107.47752660000697,109.77378270000918,comma,1,2.284226999996463,None,109.77399200000218,109.80619030000526,109.80619030000526,111.77680900000269,2.0,['period'],[1.483758200018201],[None],111.77696119999746,111.80630810000002,113.77782069999375,111.80630810000002,111.80630810000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2024-05-31_15h27.47.805,ps,2023.2.3,29.91209731973016,2024-05-31 15h28.00.914476 -0400,
mini_blocks/3dp_wm_mini_block_1.xlsx,"*Break*
Entering the 3D WORKING MEMORY block
Rotation is Counter/Clockwise
Press <4> to continue",1,0,0,3D,p,0,True,True,12,obj7,240,240,output_pairs/3Dp_0_M_WM/3Dp_0_M_WM_12_1_obj_7_240deg.png,output_pairs/3Dp_0_M_WM/3Dp_0_M_WM_12_2_obj_7_240deg.png,522,period,0,0,0,0,,,,,0,3,3,3,,,,,,,,,113.83705990001909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.77799590001814,113.83705990001909,114.77318029999151,114.85000999999465,118.77747890001046,118.77747890001046,119.78378970001359,119.78378970001359,119.78378970001359,126.24492810000083,period,1,6.434865199989872,None,126.24512540001888,126.27756990000489,126.27756990000489,128.27455999999074,None,None,,,128.274650700012,128.30623069999274,130.27767770001083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2024-05-31_15h27.47.805,ps,2023.2.3,29.91209731973016,2024-05-31 15h28.00.914476 -0400,
mini_blocks/3dp_wm_mini_block_1.xlsx,"*Break*
Entering the 3D WORKING MEMORY block
Rotation is Counter/Clockwise
Press <4> to continue",1,0,0,3D,p,120,True,True,15,obj6,80,320,output_pairs/3Dp_120_M_WM/3Dp_120_M_WM_15_1_obj_6_80deg.png,output_pairs/3Dp_120_M_WM/3Dp_120_M_WM_15_2_obj_6_320deg.png,660,period,0,0,0,0,,,,,0,4,4,4,,,,,,,,,130.34469759999774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.27785340000992,130.34469759999774,131.25020529999165,131.33999110001605,135.24421190001885,135.27750280001783,136.27765590001945,136.27765590001945,136.27765590001945,139.14050770000904,comma,0,2.836426499998197,None,139.14071880001575,139.17294370001764,139.17294370001764,141.14601640001638,None,None,,,141.1461038000125,141.1776075999951,143.17323499999475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2024-05-31_15h27.47.805,ps,2023.2.3,29.91209731973016,2024-05-31 15h28.00.914476 -0400,
mini_blocks/3dp_wm_mini_block_1.xlsx,"*Break*
Entering the 3D WORKING MEMORY block
Rotation is Counter/Clockwise
Press <4> to continue",1,0,0,3D,p,180,True,True,16,sm5,60,240,output_pairs/3Dp_180_M_WM/3Dp_180_M_WM_16_1_sm_5_60deg.png,output_pairs/3Dp_180_M_WM/3Dp_180_M_WM_16_2_sm_5_240deg.png,47,period,0,0,0,0,,,,,0,5,5,5,,,,,,,,,143.22373270001845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.17341190000298,143.22373270001845,144.1441553000186,144.23998720000964,148.13994459999958,148.1734759999963,149.13963570000487,149.17298920001485,149.17298920001485,152.07427040001494,period,1,2.900217300018994,None,152.07448559999466,152.10632419999456,152.10632419999456,154.07694379999884,1.0,['comma'],[0.7755003999918699],[None],154.0770955000189,154.10633629999938,156.08365119999507,154.10633629999938,154.10633629999938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2024-05-31_15h27.47.805,ps,2023.2.3,29.91209731973016,2024-05-31 15h28.00.914476 -0400,
