condition_file,message_to_show,repN_wm,repN_single,repN_break,dimension,rot_type,angle,mirror,wm,pair_id,obj_id,orientation1,orientation2,image_path_1,image_path_2,marker_id,correctAns,block_loop_main.thisRepN,block_loop_main.thisTrialN,block_loop_main.thisN,block_loop_main.thisIndex,simu_trials_loop.thisRepN,simu_trials_loop.thisTrialN,simu_trials_loop.thisN,simu_trials_loop.thisIndex,wm_trials_loop.thisRepN,wm_trials_loop.thisTrialN,wm_trials_loop.thisN,wm_trials_loop.thisIndex,block_loop_3dd.thisRepN,block_loop_3dd.thisTrialN,block_loop_3dd.thisN,block_loop_3dd.thisIndex,first_3Dd_wm.thisRepN,first_3Dd_wm.thisTrialN,first_3Dd_wm.thisN,first_3Dd_wm.thisIndex,thisRow.t,notes,start.started,text_start.started,key_resp_start.started,start.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,instructions.started,key_resp_12.started,image_8.started,instructions.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.duration,instructions_2.started,image_9.started,key_resp_20.started,instructions_2.stopped,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,instructions_3.started,image_10.started,key_resp_21.started,instructions_3.stopped,key_resp_21.keys,key_resp_21.rt,key_resp_21.duration,before_block_instr.started,text_13.started,key_resp_7.started,before_block_instr.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,routine_simu.started,text.started,image.started,key_resp.started,text.stopped,routine_simu.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,vividness.started,image_vivid.started,key_resp_vivid_slider_control.started,image_vivid.stopped,key_resp_vivid_slider_control.stopped,vividness.stopped,vivid_response,key_resp_vivid_slider_control.keys,key_resp_vivid_slider_control.rt,key_resp_vivid_slider_control.duration,ITI.started,text_2.started,ITI.stopped,text_2.stopped,strat.started,image_strat.started,key_resp_strat_control.started,strat.stopped,strategy_response,key_resp_strat_control.keys,key_resp_strat_control.rt,key_resp_strat_control.duration,break_2.started,break_2.stopped,key_resp_13.keys,routine_wm.started,text_4.started,img1.started,text_4.stopped,img1.stopped,text_5.started,img2.started,key_resp_3.started,text_5.stopped,routine_wm.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,image_strat.stopped,key_resp_strat_control.stopped,image.stopped,key_resp.stopped,text_17.started,key_resp_13.started,key_resp_13.rt,key_resp_13.duration,practice_3Dd_screen.started,image_11.started,key_resp_22.started,practice_3Dd_screen.stopped,key_resp_22.keys,key_resp_22.rt,key_resp_22.duration,practice_1_3Dd.started,image_12.started,key_resp_23.started,practice_1_3Dd.stopped,key_resp_23.keys,key_resp_23.rt,key_resp_23.duration,practice_2_3Dd.started,image_13.started,key_resp_24.started,practice_2_3Dd.stopped,key_resp_24.keys,key_resp_24.rt,key_resp_24.duration,wm_3Dd_screen.started,text_16.started,key_resp_11.started,wm_3Dd_screen.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,routine_3Dd_wm.started,text_8.started,image_6.started,text_8.stopped,text_12.started,image_6.stopped,text_12.stopped,image_7.started,key_resp_6.started,routine_3Dd_wm.stopped,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,key_resp_6.duration,end.started,text_22.started,key_resp_18.started,end.stopped,key_resp_18.keys,key_resp_18.rt,key_resp_18.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07444589998340234,0.081723699986469,0.081723699986469,5.728210799978115,rshift,5.633778099960182,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,001,2024-06-04_17h24.43.597,ps,2023.2.3,30.00485478404752,2024-06-04 17h24.53.279787 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.728234099980909,5.760784699989017,5.760784699989017,37.727643300022464,rshift,31.946915800042916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,001,2024-06-04_17h24.43.597,ps,2023.2.3,30.00485478404752,2024-06-04 17h24.53.279787 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.727660099975765,37.76028089999454,37.76028089999454,49.42412779998267,rshift,11.634542399959173,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,001,2024-06-04_17h24.43.597,ps,2023.2.3,30.00485478404752,2024-06-04 17h24.53.279787 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.424147000012454,49.456801899999846,49.456801899999846,52.22386510000797,rshift,2.7466821999987587,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,001,2024-06-04_17h24.43.597,ps,2023.2.3,30.00485478404752,2024-06-04 17h24.53.279787 -0400,
mini_blocks/2d_single_mini_block_2.xlsx,"*Break*
Entering the 2D SIMULTANEOUS block
Rotation is Counter/Clockwise
Press <4> to continue",0,1,0,2D,None,0,True,False,None,obj1,300,None,output_pairs/2D_0m/2D_0m_obj_14_300deg.png,None,1124,period,0,0,0,0,0,0,0,0,,,,,,,,,,,,,56.373209599987604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.22889500000747,52.25624349998543,52.25624349998543,56.26779419998638,rshift,4.010410299990326,None,56.2741784999962,56.373209599987604,57.29003670002567,57.29003670002567,57.39409120002529,58.89059600001201,period,1,1.5935754000092857,None,58.890903800027445,58.923021299997345,58.923021299997345,60.92319410003256,60.92319410003256,60.89356210001279,None,['slash'],[1.201222500007134],[None],60.893813400005456,60.92319410003256,62.900683099986054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,001,2024-06-04_17h24.43.597,ps,2023.2.3,30.00485478404752,2024-06-04 17h24.53.279787 -0400,
mini_blocks/2d_single_mini_block_2.xlsx,"*Break*
Entering the 2D SIMULTANEOUS block
Rotation is Counter/Clockwise
Press <4> to continue",0,1,0,2D,None,180,False,False,None,sm4,240,60,output_pairs/2D_180/2D_180_SM4_240_to_60deg.png,None,1074,comma,0,0,0,0,0,1,1,1,,,,,,,,,,,,,62.93999719998101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.90087200002745,62.93999719998101,63.890148899983615,63.890148899983615,63.95670899999095,66.35729980003089,period,0,2.4499040999799035,None,66.35751000000164,66.38978269998915,66.38978269998915,,,68.36286200000905,3.0,['slash'],[0.9901275000302121],[None],68.3630321000237,68.39012509997701,70.35715579998214,70.39417039998807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,001,2024-06-04_17h24.43.597,ps,2023.2.3,30.00485478404752,2024-06-04 17h24.53.279787 -0400,
mini_blocks/2d_single_mini_block_2.xlsx,"*Break*
Entering the 2D SIMULTANEOUS block
Rotation is Counter/Clockwise
Press <4> to continue",0,1,0,2D,None,60,False,False,None,obj2,20,80,output_pairs/2D_60/2D_60_obj_2_20_to_80deg.png,None,940,comma,0,0,0,0,0,2,2,2,,,,,,,,,,,,,70.39417039998807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.35732760000974,70.39417039998807,71.35678480000934,71.35678480000934,71.42342280002777,72.75739380001323,comma,1,1.3820601000334136,None,72.75760040001478,72.78989760001423,72.78989760001423,74.78993119997904,74.78993119997904,74.7604558999883,3.0,['slash'],[1.1258033000049181],[None],74.76063049997902,74.78993119997904,76.76713910000399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,001,2024-06-04_17h24.43.597,ps,2023.2.3,30.00485478404752,2024-06-04 17h24.53.279787 -0400,
mini_blocks/2d_single_mini_block_2.xlsx,"*Break*
Entering the 2D SIMULTANEOUS block
Rotation is Counter/Clockwise
Press <4> to continue",0,1,0,2D,None,120,False,False,None,obj1,100,220,output_pairs/2D_120/2D_120_obj_13_100_to_220deg.png,None,1088,comma,0,0,0,0,0,3,3,3,,,,,,,,,,,,,76.80645179998828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.76732009998523,76.80645179998828,77.7569582000142,77.7569582000142,77.82350599998608,80.22400029998971,period,0,2.447268299991265,None,80.22426220000489,80.25651610002387,80.25651610002387,82.25678400002653,82.25678400002653,82.22712220001267,3.0,['slash'],[0.7789999999804422],[None],82.22728079999797,82.25678400002653,84.22786460001953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,001,2024-06-04_17h24.43.597,ps,2023.2.3,30.00485478404752,2024-06-04 17h24.53.279787 -0400,
mini_blocks/2d_single_mini_block_2.xlsx,"*Break*
Entering the 2D SIMULTANEOUS block
Rotation is Counter/Clockwise
Press <4> to continue",0,1,0,2D,None,180,True,False,None,obj1,320,140,output_pairs/2D_180m/2D_180_obj_1_320_to_140deg.png,None,1346,period,0,0,0,0,0,4,4,4,,,,,,,,,,,,,84.26302339998074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.2280494000297,84.26302339998074,85.22350429999642,85.22350429999642,85.29013939999277,89.22439480002504,comma,0,3.9870327999815345,None,89.2245993000106,89.26077100000111,89.26077100000111,,,91.25856350001413,2.0,['period'],[1.2400210999767296],[None],91.25872510002228,91.289874900016,93.25671039998997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,001,2024-06-04_17h24.43.597,ps,2023.2.3,30.00485478404752,2024-06-04 17h24.53.279787 -0400,
mini_blocks/2d_single_mini_block_2.xlsx,"*Break*
Entering the 2D SIMULTANEOUS block
Rotation is Counter/Clockwise
Press <4> to continue",0,1,0,2D,None,0,True,False,None,obj4,40,None,output_pairs/2D_0m/2D_0m_obj_4_40deg.png,None,1127,period,0,0,0,0,0,5,5,5,,,,,,,,,,,,,93.29506660002517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.25698579999153,93.29506660002517,94.22800659999484,94.22800659999484,94.29449030000251,95.49517230002675,period,1,1.2476277999812737,None,95.49536760000046,95.52773969998816,95.52773969998816,,,97.52500670001609,3.0,['slash'],[0.8351392999757081],[None],97.52516359998845,97.55626009998377,99.52327990002232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,001,2024-06-04_17h24.43.597,ps,2023.2.3,30.00485478404752,2024-06-04 17h24.53.279787 -0400,
