condition_file,message_to_show,repN_wm,repN_single,repN_break,dimension,rot_type,angle,mirror,wm,pair_id,obj_id,orientation1,orientation2,image_path_1,image_path_2,marker_id,correctAns,block_loop_main.thisRepN,block_loop_main.thisTrialN,block_loop_main.thisN,block_loop_main.thisIndex,simu_trials_loop.thisRepN,simu_trials_loop.thisTrialN,simu_trials_loop.thisN,simu_trials_loop.thisIndex,wm_trials_loop.thisRepN,wm_trials_loop.thisTrialN,wm_trials_loop.thisN,wm_trials_loop.thisIndex,block_loop_3dd.thisRepN,block_loop_3dd.thisTrialN,block_loop_3dd.thisN,block_loop_3dd.thisIndex,first_3Dd_wm.thisRepN,first_3Dd_wm.thisTrialN,first_3Dd_wm.thisN,first_3Dd_wm.thisIndex,thisRow.t,notes,start.started,text_start.started,key_resp_start.started,start.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,instructions.started,key_resp_12.started,image_8.started,instructions.stopped,key_resp_12.keys,key_resp_12.rt,key_resp_12.duration,instructions_2.started,image_9.started,key_resp_20.started,instructions_2.stopped,key_resp_20.keys,key_resp_20.rt,key_resp_20.duration,instructions_3.started,image_10.started,key_resp_21.started,instructions_3.stopped,key_resp_21.keys,key_resp_21.rt,key_resp_21.duration,before_block_instr.started,text_13.started,key_resp_7.started,before_block_instr.stopped,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,routine_wm.started,text_4.started,img1.started,text_4.stopped,img1.stopped,text_5.started,text_5.stopped,img2.started,key_resp_3.started,routine_wm.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.duration,vividness.started,image_vivid.started,key_resp_vivid_slider_control.started,image_vivid.stopped,key_resp_vivid_slider_control.stopped,vividness.stopped,vivid_response,key_resp_vivid_slider_control.keys,key_resp_vivid_slider_control.rt,key_resp_vivid_slider_control.duration,ITI.started,text_2.started,ITI.stopped,text_2.stopped,strat.started,image_strat.started,key_resp_strat_control.started,strat.stopped,strategy_response,key_resp_strat_control.keys,key_resp_strat_control.rt,key_resp_strat_control.duration,break_2.started,break_2.stopped,key_resp_13.keys,image_strat.stopped,key_resp_strat_control.stopped,routine_simu.started,text.started,image.started,key_resp.started,text.stopped,routine_simu.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,text_17.started,key_resp_13.started,key_resp_13.rt,key_resp_13.duration,practice_3Dd_screen.started,image_11.started,key_resp_22.started,practice_3Dd_screen.stopped,key_resp_22.keys,key_resp_22.rt,key_resp_22.duration,practice_1_3Dd.started,image_12.started,key_resp_23.started,practice_1_3Dd.stopped,key_resp_23.keys,key_resp_23.rt,key_resp_23.duration,practice_2_3Dd.started,image_13.started,key_resp_24.started,practice_2_3Dd.stopped,key_resp_24.keys,key_resp_24.rt,key_resp_24.duration,wm_3Dd_screen.started,text_16.started,key_resp_11.started,wm_3Dd_screen.stopped,key_resp_11.keys,key_resp_11.rt,key_resp_11.duration,routine_3Dd_wm.started,text_8.started,image_6.started,text_8.stopped,image_6.stopped,text_12.started,text_12.stopped,image_7.started,key_resp_6.started,routine_3Dd_wm.stopped,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,key_resp_6.duration,end.started,text_22.started,key_resp_18.started,end.stopped,key_resp_18.keys,key_resp_18.rt,key_resp_18.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06951289999960863,0.07317340000008699,0.07317340000008699,4.999978600000759,rshift,4.907323299999916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2024-06-11_14h46.18.963,ps,2023.2.3,30.059267858368383,2024-06-11 14h46.30.085257 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.99999630000093,5.032414600000266,5.032414600000266,7.166095000000496,rshift,2.1081420999998954,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2024-06-11_14h46.18.963,ps,2023.2.3,30.059267858368383,2024-06-11 14h46.30.085257 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.166113700001006,7.198702699999558,7.198702699999558,8.466281200000594,rshift,1.2538586999999097,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2024-06-11_14h46.18.963,ps,2023.2.3,30.059267858368383,2024-06-11 14h46.30.085257 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.466300300000512,8.498812400001043,8.498812400001043,9.966787499999555,rshift,1.4416603999998188,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2024-06-11_14h46.18.963,ps,2023.2.3,30.059267858368383,2024-06-11 14h46.30.085257 -0400,
mini_blocks/3dp_wm_mini_block_3.xlsx,"*Break*
Entering the 3D WORKING MEMORY block
Rotation is Counter/Clockwise
Press <4> to continue",1,0,0,3D,p,120,True,True,26,obj1,0,240,output_pairs/3Dp_120_M_WM/3Dp_120_M_WM_26_1_obj_12_0deg.png,output_pairs/3Dp_120_M_WM/3Dp_120_M_WM_26_2_obj_12_240deg.png,640,period,0,0,0,0,,,,,0,0,0,0,,,,,,,,,13.442532900000515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.972534399999859,9.999305499999537,9.999305499999537,13.243672099999458,rshift,3.2300848000013502,None,13.25630319999982,13.442532900000515,14.265986200000043,14.465996000000814,18.26580980000108,18.26580980000108,19.266139499999554,19.266139499999554,19.266139499999554,21.132899199999883,period,1,1.8505325000005541,None,21.13319009999941,21.165688000000955,21.165688000000955,23.16587830000026,23.16587830000026,23.136359500000253,2.0,['period'],[1.3113773000004585],[None],23.136609999999564,23.16587830000026,25.142901000001075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2024-06-11_14h46.18.963,ps,2023.2.3,30.059267858368383,2024-06-11 14h46.30.085257 -0400,
mini_blocks/3dp_wm_mini_block_3.xlsx,"*Break*
Entering the 3D WORKING MEMORY block
Rotation is Counter/Clockwise
Press <4> to continue",1,0,0,3D,p,120,False,True,2,sm3,100,220,output_pairs/3Dp_120_WM/3Dp_120_WM_02_1_sm_3_100deg.png,output_pairs/3Dp_120_WM/3Dp_120_WM_02_2_sm_3_220deg.png,328,comma,0,0,0,0,,,,,0,1,1,1,,,,,,,,,25.20648120000078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.143109099999492,25.20648120000078,26.13272450000113,26.232739999999467,30.132372699999905,30.132372699999905,31.132889599999544,31.132889599999544,31.132889599999544,32.36633780000011,comma,1,1.2313338999992993,None,32.36653900000056,32.39892950000103,32.39892950000103,34.39935560000049,34.39935560000049,34.369810700000016,3.0,['slash'],[1.0215141000007861],[None],34.36996429999999,34.39935560000049,36.376618100001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2024-06-11_14h46.18.963,ps,2023.2.3,30.059267858368383,2024-06-11 14h46.30.085257 -0400,
mini_blocks/3dp_wm_mini_block_3.xlsx,"*Break*
Entering the 3D WORKING MEMORY block
Rotation is Counter/Clockwise
Press <4> to continue",1,0,0,3D,p,180,False,True,26,obj6,120,300,output_pairs/3Dp_180_WM/3Dp_60_WM_26_1_obj_6_120deg.png,output_pairs/3Dp_180_WM/3Dp_60_WM_26_2_obj_6_300deg.png,502,comma,0,0,0,0,,,,,0,2,2,2,,,,,,,,,36.44133300000067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.376792600000044,36.44133300000067,37.36609850000059,37.4660858999996,41.36590350000006,41.36590350000006,42.36619360000077,42.36619360000077,42.36619360000077,45.73339080000005,period,0,3.3514266000001953,None,45.73359460000029,45.76591410000037,45.76591410000037,47.766198299999814,47.766198299999814,47.73756730000059,3.0,['slash'],[1.470936800000345],[None],47.73773450000044,47.766198299999814,49.733204100000876,49.787517200000366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2024-06-11_14h46.18.963,ps,2023.2.3,30.059267858368383,2024-06-11 14h46.30.085257 -0400,
mini_blocks/3dp_wm_mini_block_3.xlsx,"*Break*
Entering the 3D WORKING MEMORY block
Rotation is Counter/Clockwise
Press <4> to continue",1,0,0,3D,p,180,True,True,18,obj1,20,200,output_pairs/3Dp_180_M_WM/3Dp_180_M_WM_18_1_obj_11_20deg.png,output_pairs/3Dp_180_M_WM/3Dp_180_M_WM_18_2_obj_11_200deg.png,34,period,0,0,0,0,,,,,0,3,3,3,,,,,,,,,49.787517200000366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.73337259999971,49.787517200000366,50.7431231999999,50.810015700000804,54.76578410000002,54.76578410000002,55.76598759999979,55.76598759999979,55.76598759999979,58.60015220000059,comma,0,2.8068561000000045,None,58.60056690000056,58.632668600001125,58.632668600001125,60.63295990000006,60.63295990000006,60.60313429999951,2.0,['period'],[1.421119100001306],[None],60.60330199999953,60.63295990000006,62.60020640000039,62.65783209999972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2024-06-11_14h46.18.963,ps,2023.2.3,30.059267858368383,2024-06-11 14h46.30.085257 -0400,
mini_blocks/3dp_wm_mini_block_3.xlsx,"*Break*
Entering the 3D WORKING MEMORY block
Rotation is Counter/Clockwise
Press <4> to continue",1,0,0,3D,p,60,True,True,26,obj9,60,120,output_pairs/3Dp_60_M_WM/3Dp_60_M_WM_26_1_obj_9_60deg.png,output_pairs/3Dp_60_M_WM/3Dp_60_M_WM_26_2_obj_9_120deg.png,301,period,0,0,0,0,,,,,0,4,4,4,,,,,,,,,62.65783209999972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.60038420000092,62.65783209999972,63.63290980000056,63.66614750000008,67.63297240000065,67.59959909999998,68.59966920000079,68.59966920000079,68.59966920000079,71.20014000000083,comma,0,2.596955799999705,None,71.2003464999998,71.23239400000057,71.23239400000057,73.23306090000005,73.23306090000005,73.2034992000008,2.0,['period'],[0.7329323000012664],[None],73.20364940000036,73.23306090000005,75.20012630000019,75.25428029999966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2024-06-11_14h46.18.963,ps,2023.2.3,30.059267858368383,2024-06-11 14h46.30.085257 -0400,
mini_blocks/3dp_wm_mini_block_3.xlsx,"*Break*
Entering the 3D WORKING MEMORY block
Rotation is Counter/Clockwise
Press <4> to continue",1,0,0,3D,p,0,True,True,3,obj1,0,0,output_pairs/3Dp_0_M_WM/3Dp_0_M_WM_03_1_obj_1_0deg.png,output_pairs/3Dp_0_M_WM/3Dp_0_M_WM_03_2_obj_1_0deg.png,531,period,0,0,0,0,,,,,0,5,5,5,,,,,,,,,75.25428029999966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.20030150000093,75.25428029999966,76.19952960000046,76.26632190000055,80.19976610000049,80.19976610000049,81.20996490000107,81.20996490000107,81.20996490000107,83.133710600001,period,1,1.890180299998974,None,83.13391899999988,83.16587170000093,83.16587170000093,85.16626560000077,85.16626560000077,85.13680779999959,2.0,['period'],[0.7271559000000707],[None],85.13697309999952,85.16626560000077,87.13335999999981,87.18978509999943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2024-06-11_14h46.18.963,ps,2023.2.3,30.059267858368383,2024-06-11 14h46.30.085257 -0400,
mini_blocks/3dp_wm_mini_block_3.xlsx,"*Break*
Entering the 3D WORKING MEMORY block
Rotation is Counter/Clockwise
Press <4> to continue",1,0,0,3D,p,120,False,True,26,obj1,0,240,output_pairs/3Dp_120_WM/3Dp_120_WM_26_1_obj_13_0deg.png,output_pairs/3Dp_120_WM/3Dp_120_WM_26_2_obj_13_240deg.png,342,comma,0,0,0,0,,,,,0,6,6,6,,,,,,,,,87.18978509999943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.1335194000003,87.18978509999943,88.13328329999968,88.2098788000003,92.1331556999994,92.1331556999994,93.13306200000079,93.13306200000079,93.13306200000079,95.90032369999972,comma,1,2.7590165000001434,None,95.90052800000012,95.93281709999974,95.93281709999974,97.93301659999997,97.93301659999997,97.90380870000081,3.0,['slash'],[0.9122976999988168],[None],97.90395949999947,97.93301659999997,99.90018880000025,99.94773900000109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2024-06-11_14h46.18.963,ps,2023.2.3,30.059267858368383,2024-06-11 14h46.30.085257 -0400,
mini_blocks/3dp_wm_mini_block_3.xlsx,"*Break*
Entering the 3D WORKING MEMORY block
Rotation is Counter/Clockwise
Press <4> to continue",1,0,0,3D,p,0,False,True,5,sm2,280,280,output_pairs/3Dp_0_WM/3Dp_0_WM_05_1_sm_2_280deg.png,output_pairs/3Dp_0_WM/3Dp_0_WM_05_2_sm_2_280deg.png,113,comma,0,0,0,0,,,,,0,7,7,7,,,,,,,,,99.94773900000109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.90036599999985,99.94773900000109,100.89995439999984,100.97471369999948,104.89951819999987,104.89951819999987,105.89974220000113,105.89974220000113,105.89974220000113,106.90073620000112,comma,1,0.9694003000004159,None,106.90094540000064,106.93318189999991,106.93318189999991,108.93281659999957,108.93281659999957,108.9031429000006,4.0,['rshift'],[1.071548600000824],[None],108.90329530000054,108.93281659999957,110.9005427000011,110.94746049999958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011,001,2024-06-11_14h46.18.963,ps,2023.2.3,30.059267858368383,2024-06-11 14h46.30.085257 -0400,
