senario,item,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instruction_vviq.started,instruction_vviq.stopped,vviqblock.started,key_resp_vviq_continue.started,text_vviqitem.started,text_vviq_tip.started,vviqblock.stopped,vviq_response,key_resp_vviq_continue.keys,key_resp_vviq_continue.rt,key_resp_vviq_continue.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
"Think of some relative or friend whom you frequently see (but who is not with you at present), and consider carefully the picture that comes before your mind's eye. ","The exact contour of face, head, shoulders, and body :",0,0,0,0,12.18870120000065,,0.00969230000191601,12.106947000000218,12.11224460000085,12.18870120000065,12.18870120000065,12.18870120000065,53.71819210000103,4.0,rshift,41.512641600005736,None,005,001,2024-05-30_15h06.53.189,VVIQ,2023.2.3,29.933559471424765,2024-05-30 15h07.03.417612 -0400,
None,"Characteristic poses of head, attitudes of body :",0,1,1,1,53.75684570000158,,,,53.71849590000056,53.75684570000158,53.75684570000158,53.75684570000158,67.11173779999808,4.0,rshift,13.320935499999905,None,005,001,2024-05-30_15h06.53.189,VVIQ,2023.2.3,29.933559471424765,2024-05-30 15h07.03.417612 -0400,
None,"The precise carriage, length of step, etc., in walking :",0,2,2,2,67.15460429999803,,,,67.11195620000217,67.15460429999803,67.15460429999803,67.15460429999803,75.61244889999944,1.0,rshift,8.42000939999707,None,005,001,2024-05-30_15h06.53.189,VVIQ,2023.2.3,29.933559471424765,2024-05-30 15h07.03.417612 -0400,
None,The different colors worn in some familiar clothes :,0,3,3,3,75.64741569999751,,,,75.6126774000004,75.64741569999751,75.64741569999751,75.64741569999751,82.34518589999789,5.0,rshift,6.694327900004282,None,005,001,2024-05-30_15h06.53.189,VVIQ,2023.2.3,29.933559471424765,2024-05-30 15h07.03.417612 -0400,
Visualize a rising sun. Consider carefully the picture that comes before your mind's eye. ,The sun is rising above the horizon into a hazy sky :,0,4,4,4,82.38110310000047,,,,82.34538739999698,82.38110310000047,82.38110310000047,82.38110310000047,91.37892619999911,4.0,rshift,8.969034299996565,None,005,001,2024-05-30_15h06.53.189,VVIQ,2023.2.3,29.933559471424765,2024-05-30 15h07.03.417612 -0400,
None,The sky clears and surrounds the sun with blueness :,0,5,5,5,91.40832529999898,,,,91.37913539999863,91.40832529999898,91.40832529999898,91.40832529999898,99.17859339999995,4.0,rshift,7.73294960000203,None,005,001,2024-05-30_15h06.53.189,VVIQ,2023.2.3,29.933559471424765,2024-05-30 15h07.03.417612 -0400,
None,"Clouds. A storm blows up, with flashes of lightning :",0,6,6,6,99.2123614000011,,,,99.17879710000125,99.2123614000011,99.2123614000011,99.2123614000011,112.778739399997,5.0,rshift,13.561549500002002,None,005,001,2024-05-30_15h06.53.189,VVIQ,2023.2.3,29.933559471424765,2024-05-30 15h07.03.417612 -0400,
None,A rainbow appears :,0,7,7,7,112.80850890000147,,,,112.77895939999871,112.80850890000147,112.80850890000147,112.80850890000147,116.70826189999934,4.0,rshift,3.870594699998037,None,005,001,2024-05-30_15h06.53.189,VVIQ,2023.2.3,29.933559471424765,2024-05-30 15h07.03.417612 -0400,
Think of the front of a shop to which you often go. Consider the picture that comes before your mind's eye.,The overall appearance of the shop from the opposite side of the road : ,0,8,8,8,116.73992469999939,,,,116.70846999999776,116.73992469999939,116.73992469999939,116.73992469999939,124.7421617,2.0,rshift,7.978240299999015,None,005,001,2024-05-30_15h06.53.189,VVIQ,2023.2.3,29.933559471424765,2024-05-30 15h07.03.417612 -0400,
None,"A window display including colors, shapes, and details of individual items for sale :",0,9,9,9,124.77197049999813,,,,124.74243130000104,124.77197049999813,124.77197049999813,124.77197049999813,139.57525799999712,5.0,rshift,14.795168399999966,None,005,001,2024-05-30_15h06.53.189,VVIQ,2023.2.3,29.933559471424765,2024-05-30 15h07.03.417612 -0400,
